States,Years,Quarters,District,Transaction_count,Transaction_amount
Arunachal pradesh,2023,1,lower subansiri district,257899,585614438.0
Arunachal pradesh,2023,1,longding district,107606,261124843.99999997
Arunachal pradesh,2023,1,west siang district,320064,764188915.0
Arunachal pradesh,2023,1,kamle district,40383,92585537.0
Arunachal pradesh,2023,1,upper siang district,103335,268653642.0
Arunachal pradesh,2023,1,tirap district,157071,368592354.0
Arunachal pradesh,2023,1,papum pare district,3302746,5900429571.0
Arunachal pradesh,2023,1,kurung kumey district,29127,97772110.0
Arunachal pradesh,2023,1,anjaw district,47386,125631329.0
Arunachal pradesh,2023,1,siang district,80741,201397801.00000003
Arunachal pradesh,2023,1,lower siang district,95379,206156352.0
Arunachal pradesh,2023,1,kra daadi district,39986,133651279.0
Arunachal pradesh,2023,1,changlang district,494506,1101499481.0
Arunachal pradesh,2023,1,pakke kessang district,29274,53298027.0
Arunachal pradesh,2023,1,dibang valley district,6327,28921318.0
Arunachal pradesh,2023,1,west kameng district,662521,1414404520.0
Arunachal pradesh,2023,1,shi yomi district,6633,38151814.0
Arunachal pradesh,2023,1,east siang district,535198,990989057.0
Arunachal pradesh,2023,1,upper subansiri district,179629,533663641.99999994
Arunachal pradesh,2023,1,east kameng district,150931,375398867.0
Arunachal pradesh,2023,1,lohit district,483285,870836418.0
Arunachal pradesh,2023,1,lepa rada district,91748,200811427.0
Arunachal pradesh,2023,1,tawang district,239151,724541898.0
Arunachal pradesh,2023,1,namsai district,325503,518550113.00000006
Arunachal pradesh,2023,2,lower dibang valley district,320847,641502543.0
Arunachal pradesh,2023,2,lower subansiri district,341107,689315626.0
Arunachal pradesh,2023,2,longding district,130522,285288333.0
Arunachal pradesh,2023,2,west siang district,450143,970914462.0
Arunachal pradesh,2023,2,kamle district,55865,106363864.99999999
Arunachal pradesh,2023,2,upper siang district,128805,301652672.0
Arunachal pradesh,2023,2,tirap district,200783,446804515.0
Arunachal pradesh,2023,2,papum pare district,4245307,7148674913.0
Arunachal pradesh,2023,2,kurung kumey district,31722,97669815.0
Arunachal pradesh,2023,2,anjaw district,56827,151922212.0
Arunachal pradesh,2023,2,siang district,105020,227425026.0
Arunachal pradesh,2023,2,lower siang district,111333,218937620.99999997
Arunachal pradesh,2023,2,kra daadi district,47120,134813823.0
Arunachal pradesh,2023,2,changlang district,615184,1260077796.0
Arunachal pradesh,2023,2,pakke kessang district,34356,58620893.0
Arunachal pradesh,2023,2,dibang valley district,8132,39137344.0
Arunachal pradesh,2023,2,west kameng district,870033,1803248166.0
Arunachal pradesh,2023,2,shi yomi district,10945,63767934.00000001
Arunachal pradesh,2023,2,east siang district,689624,1177576754.0
Arunachal pradesh,2023,2,upper subansiri district,246349,680733513.0
Arunachal pradesh,2023,2,east kameng district,200350,450768238.00000006
Arunachal pradesh,2023,2,lohit district,592587,984621671.9999999
Arunachal pradesh,2023,2,lepa rada district,118411,242626097.0
Arunachal pradesh,2023,2,tawang district,339605,1003663723.0000001
Arunachal pradesh,2023,2,namsai district,409511,619571108.0
Arunachal pradesh,2023,3,lower dibang valley district,389175,628025556.0
Arunachal pradesh,2023,3,lower subansiri district,482224,818756305.0
Arunachal pradesh,2023,3,longding district,150276,281708440.0
Arunachal pradesh,2023,3,west siang district,554407,1037211224.0
Arunachal pradesh,2023,3,kamle district,62975,104430900.0
Arunachal pradesh,2023,3,upper siang district,157030,348328951.0
Arunachal pradesh,2023,3,tirap district,237127,447309633.0
Arunachal pradesh,2023,3,papum pare district,5410471,7595971259.0
Arunachal pradesh,2023,3,kurung kumey district,52807,135509046.0
Arunachal pradesh,2023,3,anjaw district,69246,178422001.0
Arunachal pradesh,2023,3,siang district,126921,230649450.0
Arunachal pradesh,2023,3,lower siang district,134761,230582572.0
Arunachal pradesh,2023,3,kra daadi district,64924,146211703.0
Arunachal pradesh,2023,3,changlang district,712587,1216076703.0
Arunachal pradesh,2023,3,pakke kessang district,39091,54219594.00000001
Arunachal pradesh,2023,3,dibang valley district,12694,53416276.0
Arunachal pradesh,2023,3,west kameng district,1036743,1923965574.0
Arunachal pradesh,2023,3,shi yomi district,15854,79871837.0
Arunachal pradesh,2023,3,east siang district,810283,1247686937.0
Arunachal pradesh,2023,3,upper subansiri district,281370,724981091.0
Arunachal pradesh,2023,3,east kameng district,259522,488197907.0
Arunachal pradesh,2023,3,lohit district,700473,1048609233.0000001
Arunachal pradesh,2023,3,lepa rada district,140239,253727651.99999997
Arunachal pradesh,2023,3,tawang district,423923,1199412955.0
Arunachal pradesh,2023,3,namsai district,477310,654108287.0
Arunachal pradesh,2023,4,lower dibang valley district,456242,780822119.0
Arunachal pradesh,2023,4,lower subansiri district,559506,959863861.9999999
Arunachal pradesh,2023,4,longding district,176666,332931262.0
Arunachal pradesh,2023,4,west siang district,687577,1262224512.0
Arunachal pradesh,2023,4,kamle district,69707,123271590.00000001
Arunachal pradesh,2023,4,upper siang district,188063,398373540.0
Arunachal pradesh,2023,4,tirap district,289385,535162444.0
Arunachal pradesh,2023,4,papum pare district,5938599,8374060439.000001
Arunachal pradesh,2023,4,kurung kumey district,65869,159910955.0
Arunachal pradesh,2023,4,anjaw district,99303,222941391.99999997
Arunachal pradesh,2023,4,siang district,145231,259192071.0
Arunachal pradesh,2023,4,lower siang district,161327,277578144.0
Arunachal pradesh,2023,4,kra daadi district,83516,184199521.0
Arunachal pradesh,2023,4,changlang district,806945,1430052570.0
Arunachal pradesh,2023,4,pakke kessang district,41236,61144256.0
Arunachal pradesh,2023,4,dibang valley district,32123,79988144.0
Arunachal pradesh,2023,4,west kameng district,1195192,2162840497.0
Arunachal pradesh,2023,4,shi yomi district,18458,91284638.0
Arunachal pradesh,2023,4,east siang district,931589,1416674919.0
Arunachal pradesh,2023,4,upper subansiri district,342000,855586654.9999999
Arunachal pradesh,2023,4,east kameng district,327263,578170716.0
Arunachal pradesh,2023,4,lohit district,779252,1192879539.0
Arunachal pradesh,2023,4,lepa rada district,179912,322215111.0
Arunachal pradesh,2023,4,tawang district,509181,1297707130.0
Arunachal pradesh,2023,4,namsai district,533600,769723768.0
Assam,2018,1,tinsukia district,41237,45886201.028968215
Assam,2018,1,lakhimpur district,24946,17798094.85123946
Assam,2018,1,kamrup district,47859,41868129.255927615
Assam,2018,1,kokrajhar district,16397,17935304.65287403
Assam,2018,1,karbi anglong district,15032,14875159.186785301
Assam,2018,1,sivasagar district,16898,17611863.81889959
Assam,2018,1,dibrugarh district,44792,53258765.86975428
Assam,2018,1,south salmara mancachar district,8415,9404471.999163514
Assam,2018,1,nagaon district,66695,56352631.29147629
Assam,2018,1,dhubri district,26072,24431277.761899877
Assam,2018,1,golaghat district,22089,19058581.948010612
Assam,2018,1,udalguri district,18168,14465756.758661749
Assam,2018,1,majuli district,2598,1326721.023225203
Assam,2018,1,sonitpur district,51976,73005566.24909952
Assam,2018,1,hojai district,16917,15849610.991098091
Assam,2018,1,marigaon district,79832,105067294.49868399
Assam,2018,1,chirang district,8445,11665546.58654756
Assam,2018,1,cachar district,56481,57250290.53047233
Assam,2018,1,nalbari district,16878,12393870.99254189
Assam,2018,1,west karbi anglong district,1445,570966.7219731117
Assam,2018,1,dhemaji district,16037,17004986.97044885
Assam,2018,1,karimganj district,17261,17842353.51962607
Assam,2018,1,bongaigaon district,18899,21510944.89126336
Assam,2018,1,dima hasao district,4233,4781136.056644153
Assam,2018,1,baksa district,20964,22457849.866681408
Assam,2018,1,charaideo district,13094,10873516.97570264
Assam,2018,1,darrang district,28031,21593879.067580048
Assam,2018,1,kamrup metropolitan district,194617,284766218.9848748
Assam,2018,1,hailakandi district,15865,11065155.715426872
Assam,2018,1,barpeta district,67801,56352302.37753609
Assam,2018,1,goalpara district,27132,25331840.51625772
Assam,2018,1,biswanath district,16453,12983623.19716093
Assam,2018,1,jorhat district,33322,41164542.05596451
Assam,2018,2,tinsukia district,66715,102921465.6382229
Assam,2018,2,lakhimpur district,39374,43214923.214693636
Assam,2018,2,kamrup district,74537,83338163.66068907
Assam,2018,2,kokrajhar district,25926,39803961.02286669
Assam,2018,2,karbi anglong district,21038,32715713.62045552
Assam,2018,2,sivasagar district,32513,38045383.75274092
Assam,2018,2,dibrugarh district,70642,110954951.6851775
Assam,2018,2,south salmara mancachar district,11905,17203000.74112571
Assam,2018,2,nagaon district,105834,129818644.9147849
Assam,2018,2,dhubri district,45661,47762317.2677084
Assam,2018,2,golaghat district,36437,43250232.583806045
Assam,2018,2,udalguri district,27215,30375056.04072274
Assam,2018,2,majuli district,5058,3699473.567640461
Assam,2018,2,sonitpur district,82799,151230715.30607638
Assam,2018,2,hojai district,27627,37555286.20435598
Assam,2018,2,marigaon district,109223,204057284.2187584
Assam,2018,2,chirang district,11893,20005276.7743615
Assam,2018,2,cachar district,83921,105147622.6122449
Assam,2018,2,nalbari district,28274,31476842.338154253
Assam,2018,2,west karbi anglong district,3059,2307157.4720137673
Assam,2018,2,dhemaji district,28048,40136198.64929268
Assam,2018,2,karimganj district,29742,31418376.05790348
Assam,2018,2,bongaigaon district,30556,41124057.19038026
Assam,2018,2,dima hasao district,7909,15427592.177508092
Assam,2018,2,baksa district,34924,47062551.49763677
Assam,2018,2,charaideo district,22888,22097271.472520743
Assam,2018,2,darrang district,39773,44360631.7271892
Assam,2018,2,kamrup metropolitan district,320417,548619364.2308466
Assam,2018,2,hailakandi district,20932,21484955.78995152
Assam,2018,2,barpeta district,102217,117541108.74699071
Assam,2018,2,goalpara district,38784,48654323.65172512
Assam,2018,2,biswanath district,24691,27140715.97885587
Assam,2018,2,jorhat district,53341,70634515.73039348
Assam,2018,3,tinsukia district,90928,155121755.7636533
Assam,2018,3,lakhimpur district,51496,62695597.631945185
Assam,2018,3,kamrup district,112726,148929589.8006005
Assam,2018,3,kokrajhar district,40412,73077064.97429448
Assam,2018,3,karbi anglong district,34200,57257408.75516914
Assam,2018,3,sivasagar district,42699,59919419.35195386
Assam,2018,3,dibrugarh district,98822,173048841.58376458
Assam,2018,3,south salmara mancachar district,19386,26159422.016507793
Assam,2018,3,nagaon district,142195,208584967.9650631
Assam,2018,3,dhubri district,67607,103548615.7832775
Assam,2018,3,golaghat district,54792,72105527.30150673
Assam,2018,3,udalguri district,37084,49951166.54462875
Assam,2018,3,majuli district,10921,8055597.913024999
Assam,2018,3,sonitpur district,116196,252135800.7161754
Assam,2018,3,hojai district,38583,61817228.949645184
Assam,2018,3,marigaon district,102867,189132040.9174304
Assam,2018,3,chirang district,18743,33723485.93714554
Assam,2018,3,cachar district,123735,189612378.3319926
Assam,2018,3,nalbari district,41038,53972192.02012733
Assam,2018,3,west karbi anglong district,4995,4925639.964915074
Assam,2018,3,dhemaji district,40083,66647316.37566679
Assam,2018,3,karimganj district,44660,61562538.835012056
Assam,2018,3,bongaigaon district,50508,82437701.24197799
Assam,2018,3,dima hasao district,12952,21820660.62086193
Assam,2018,3,baksa district,50043,78080860.90020068
Assam,2018,3,charaideo district,28439,37987634.601765156
Assam,2018,3,darrang district,51560,66050473.03652644
Assam,2018,3,kamrup metropolitan district,476050,884121118.8280818
Assam,2018,3,hailakandi district,29372,41835687.849734716
Assam,2018,3,barpeta district,145945,230125281.8407083
Assam,2018,3,goalpara district,57019,88773137.69565679
Assam,2018,3,biswanath district,36071,49910423.57898152
Assam,2018,3,jorhat district,79724,118008412.2863017
Assam,2018,4,tinsukia district,127171,253718923.0695014
Assam,2018,4,lakhimpur district,76772,104689433.9410339
Assam,2018,4,kamrup district,162592,236088241.49952978
Assam,2018,4,kokrajhar district,54606,123041318.32460131
Assam,2018,4,karbi anglong district,53526,99019113.05197324
Assam,2018,4,sivasagar district,64113,99142069.27717136
Assam,2018,4,dibrugarh district,144931,264346941.49220368
Assam,2018,4,south salmara mancachar district,26334,41170236.09800846
Assam,2018,4,nagaon district,435103,317973029.4737475
Assam,2018,4,dhubri district,120810,181651044.89215758
Assam,2018,4,golaghat district,79500,126712548.58575009
Assam,2018,4,udalguri district,51801,90836151.48172344
Assam,2018,4,majuli district,16498,13348264.37102901
Assam,2018,4,sonitpur district,165399,358549931.5785284
Assam,2018,4,hojai district,53523,85392301.38430479
Assam,2018,4,marigaon district,193075,207853575.09985882
Assam,2018,4,chirang district,26846,51647368.60810732
Assam,2018,4,cachar district,187360,272342253.1327299
Assam,2018,4,nalbari district,61931,83491586.46719557
Assam,2018,4,west karbi anglong district,8729,9985888.620912362
Assam,2018,4,dhemaji district,62268,109905674.61382622
Assam,2018,4,karimganj district,62738,106200165.50793809
Assam,2018,4,bongaigaon district,84239,130369027.688278
Assam,2018,4,dima hasao district,19051,41435937.87571849
Assam,2018,4,baksa district,66602,114583565.16335079
Assam,2018,4,charaideo district,41777,63979700.094672166
Assam,2018,4,darrang district,67909,109435369.93100189
Assam,2018,4,kamrup metropolitan district,686010,1345451492.434445
Assam,2018,4,hailakandi district,43026,66947503.90498407
Assam,2018,4,barpeta district,225449,354675455.9326413
Assam,2018,4,goalpara district,101776,171764620.4041074
Assam,2018,4,biswanath district,52514,77750045.91803804
Assam,2018,4,jorhat district,110193,174524079.0939923
Assam,2019,1,tinsukia district,147896,296016100.5028683
Assam,2019,1,lakhimpur district,84448,135217192.8844811
Assam,2019,1,kamrup district,205094,325387078.12946683
Assam,2019,1,kokrajhar district,60413,133213397.3693016
Assam,2019,1,karbi anglong district,62301,127716945.6753939
Assam,2019,1,sivasagar district,73524,126028482.8956817
Assam,2019,1,dibrugarh district,180303,308520050.1444362
Assam,2019,1,south salmara mancachar district,36980,56376266.782675646
Assam,2019,1,nagaon district,265767,382986937.0026997
Assam,2019,1,dhubri district,129363,168832530.5113757
Assam,2019,1,golaghat district,87815,150699869.586343
Assam,2019,1,udalguri district,57339,103343677.3304387
Assam,2019,1,majuli district,15485,17616797.703198172
Assam,2019,1,sonitpur district,197716,409811805.46215415
Assam,2019,1,hojai district,61983,111715019.6906949
Assam,2019,1,marigaon district,162645,225891536.78995082
Assam,2019,1,chirang district,32379,57539957.79323552
Assam,2019,1,cachar district,206705,335675210.4339503
Assam,2019,1,nalbari district,70290,94533334.09474775
Assam,2019,1,west karbi anglong district,11141,12368112.98912975
Assam,2019,1,dhemaji district,69519,134956449.7445293
Assam,2019,1,karimganj district,76238,140750684.4913983
Assam,2019,1,bongaigaon district,91061,138479281.3911562
Assam,2019,1,dima hasao district,26119,51318304.483347
Assam,2019,1,baksa district,75377,147648364.4004302
Assam,2019,1,charaideo district,49174,75457156.83902974
Assam,2019,1,darrang district,76056,137391656.7613904
Assam,2019,1,kamrup metropolitan district,1306775,2605380335.922157
Assam,2019,1,hailakandi district,51401,76319460.13758466
Assam,2019,1,barpeta district,262834,416977891.5222329
Assam,2019,1,goalpara district,113947,191744923.215441
Assam,2019,1,biswanath district,59752,91143579.39023894
Assam,2019,1,jorhat district,125165,215041144.37958872
Assam,2019,2,tinsukia district,148294,323303192.86631
Assam,2019,2,lakhimpur district,88545,154536738.9259897
Assam,2019,2,kamrup district,176995,334724712.0725308
Assam,2019,2,kokrajhar district,58445,136120566.4693704
Assam,2019,2,karbi anglong district,62877,150114998.0486763
Assam,2019,2,sivasagar district,74192,134981544.5545774
Assam,2019,2,dibrugarh district,169357,356524668.6213246
Assam,2019,2,south salmara mancachar district,32449,69876713.5681054
Assam,2019,2,nagaon district,231423,422774561.36001366
Assam,2019,2,dhubri district,101070,201203482.80786562
Assam,2019,2,golaghat district,89403,157511569.7769561
Assam,2019,2,udalguri district,51326,108912182.94177541
Assam,2019,2,majuli district,13800,17825869.54791316
Assam,2019,2,sonitpur district,192707,444337498.7727274
Assam,2019,2,hojai district,63598,125015617.43164451
Assam,2019,2,marigaon district,130459,235342996.5897565
Assam,2019,2,chirang district,31621,65747046.11911234
Assam,2019,2,cachar district,177976,335126276.2091832
Assam,2019,2,nalbari district,64729,108268162.2007928
Assam,2019,2,west karbi anglong district,10260,15373392.65586704
Assam,2019,2,dhemaji district,66560,150306788.8140132
Assam,2019,2,karimganj district,70635,144404980.6071752
Assam,2019,2,bongaigaon district,80689,155642822.4410791
Assam,2019,2,dima hasao district,28118,57300032.732904054
Assam,2019,2,baksa district,70162,150019543.7853717
Assam,2019,2,charaideo district,45010,85061629.87310517
Assam,2019,2,darrang district,70387,140869866.57193542
Assam,2019,2,kamrup metropolitan district,2488968,5089657876.792284
Assam,2019,2,hailakandi district,47321,79845847.4735592
Assam,2019,2,barpeta district,228864,466786096.3962827
Assam,2019,2,goalpara district,97473,201643499.00419933
Assam,2019,2,biswanath district,61472,103930302.3744572
Assam,2019,2,jorhat district,129744,231878110.7193352
Assam,2019,3,tinsukia district,196245,357008533.5524102
Assam,2019,3,lakhimpur district,115808,182745177.3023558
Assam,2019,3,kamrup district,222439,383883901.2477784
Assam,2019,3,kokrajhar district,77004,153786698.2212786
Assam,2019,3,karbi anglong district,83280,173411321.7054668
Assam,2019,3,sivasagar district,101503,160505383.6038673
Assam,2019,3,dibrugarh district,230118,425077484.1305032
Assam,2019,3,south salmara mancachar district,32727,72591552.54102534
Assam,2019,3,nagaon district,258566,491551326.2153321
Assam,2019,3,dhubri district,115968,235503727.27269608
Assam,2019,3,golaghat district,121795,194779142.64060062
Assam,2019,3,udalguri district,69169,133441413.3303756
Assam,2019,3,majuli district,19170,22241164.40641063
Assam,2019,3,sonitpur district,257623,533288953.03489536
Assam,2019,3,hojai district,84120,154505233.5410053
Assam,2019,3,marigaon district,116364,242626706.43637037
Assam,2019,3,chirang district,45161,87808950.14199197
Assam,2019,3,cachar district,242781,426502976.77314717
Assam,2019,3,nalbari district,82814,133051985.1905057
Assam,2019,3,west karbi anglong district,14546,17754122.57514513
Assam,2019,3,dhemaji district,90986,171587706.61930132
Assam,2019,3,karimganj district,96450,167756855.4172643
Assam,2019,3,bongaigaon district,104703,184020775.95802072
Assam,2019,3,dima hasao district,41878,80649915.50275357
Assam,2019,3,baksa district,92868,175122110.8488526
Assam,2019,3,charaideo district,59490,103441007.0856929
Assam,2019,3,darrang district,90156,171891466.6790295
Assam,2019,3,kamrup metropolitan district,2188998,6080999088.2029915
Assam,2019,3,hailakandi district,62134,95753332.8367396
Assam,2019,3,barpeta district,262253,505242250.25981045
Assam,2019,3,goalpara district,119928,234306376.693941
Assam,2019,3,biswanath district,78058,123277846.066462
Assam,2019,3,jorhat district,167468,274329134.39248854
Assam,2019,4,tinsukia district,224113,423685126.94560075
Assam,2019,4,lakhimpur district,129734,211979144.7023744
Assam,2019,4,kamrup district,249708,461559258.766533
Assam,2019,4,kokrajhar district,90371,198548447.25328583
Assam,2019,4,karbi anglong district,95122,214907046.1108188
Assam,2019,4,sivasagar district,112099,192010348.163933
Assam,2019,4,dibrugarh district,255885,470389915.7975105
Assam,2019,4,south salmara mancachar district,39935,91996007.23237559
Assam,2019,4,nagaon district,287586,546184547.4478518
Assam,2019,4,dhubri district,134357,284612415.4826451
Assam,2019,4,golaghat district,138710,238009780.1818983
Assam,2019,4,udalguri district,77332,154704605.5649502
Assam,2019,4,majuli district,20488,26928995.95330454
Assam,2019,4,sonitpur district,298139,613461613.2726698
Assam,2019,4,hojai district,95246,175607661.95152912
Assam,2019,4,marigaon district,132919,263927905.91411427
Assam,2019,4,chirang district,51791,101022374.81498419
Assam,2019,4,cachar district,273506,482197783.1553297
Assam,2019,4,nalbari district,95723,156653435.63897613
Assam,2019,4,west karbi anglong district,17914,25460539.282486644
Assam,2019,4,dhemaji district,103033,197496702.4434895
Assam,2019,4,karimganj district,108697,194919405.2269945
Assam,2019,4,bongaigaon district,119397,235963764.7179902
Assam,2019,4,dima hasao district,45414,93463244.8365884
Assam,2019,4,baksa district,106632,221221950.6578872
Assam,2019,4,charaideo district,70323,125582119.32897241
Assam,2019,4,darrang district,98623,201143725.75237712
Assam,2019,4,kamrup metropolitan district,2510384,7206165641.817837
Assam,2019,4,hailakandi district,67877,117286060.91560161
Assam,2019,4,barpeta district,295624,613479659.5323288
Assam,2019,4,goalpara district,139662,282003507.8056698
Assam,2019,4,biswanath district,88764,151710760.82103232
Assam,2019,4,jorhat district,185402,307700398.0221567
Assam,2020,1,tinsukia district,286640,541758826.9845176
Assam,2020,1,lakhimpur district,170709,275431087.197293
Assam,2020,1,kamrup district,322830,605538834.8588183
Assam,2020,1,kokrajhar district,114668,248408355.21989542
Assam,2020,1,karbi anglong district,113535,217131796.10672602
Assam,2020,1,sivasagar district,145386,255427708.5090978
Assam,2020,1,dibrugarh district,317878,585327059.678019
Assam,2020,1,south salmara mancachar district,53050,131605619.1878117
Assam,2020,1,nagaon district,360749,736229612.8989756
Assam,2020,1,dhubri district,171651,396380458.8856824
Assam,2020,1,golaghat district,179380,301335497.7930421
Assam,2020,1,udalguri district,102667,191387716.4480479
Assam,2020,1,majuli district,25164,35131725.05132236
Assam,2020,1,sonitpur district,383179,755509094.6113625
Assam,2020,1,hojai district,116561,234366183.7308593
Assam,2020,1,marigaon district,178906,365789442.3652271
Assam,2020,1,chirang district,69572,129457976.3468223
Assam,2020,1,cachar district,375774,659702346.1886156
Assam,2020,1,nalbari district,123597,204236898.97519043
Assam,2020,1,west karbi anglong district,24370,34424503.58908371
Assam,2020,1,dhemaji district,132751,261048437.2183178
Assam,2020,1,karimganj district,149784,300337283.14218104
Assam,2020,1,bongaigaon district,154338,308181647.0424576
Assam,2020,1,dima hasao district,57312,113253608.62830341
Assam,2020,1,baksa district,139164,286488075.0946201
Assam,2020,1,charaideo district,88911,166505285.4211547
Assam,2020,1,darrang district,130156,282448987.90926135
Assam,2020,1,kamrup metropolitan district,3338601,10080547554.26547
Assam,2020,1,hailakandi district,94255,178759552.2400369
Assam,2020,1,barpeta district,367963,833078665.8149495
Assam,2020,1,goalpara district,178776,399940069.4868414
Assam,2020,1,biswanath district,108475,182185726.09962332
Assam,2020,1,jorhat district,232108,371072710.7397319
Assam,2020,2,tinsukia district,420620,618021383.1902584
Assam,2020,2,lakhimpur district,272571,350989858.664944
Assam,2020,2,kamrup district,461735,696378364.1282135
Assam,2020,2,kokrajhar district,172597,308298837.3237574
Assam,2020,2,karbi anglong district,183647,292585692.4231733
Assam,2020,2,sivasagar district,220014,286719380.2356086
Assam,2020,2,dibrugarh district,447580,678491572.8304845
Assam,2020,2,south salmara mancachar district,83003,196672059.63422552
Assam,2020,2,nagaon district,521404,889592664.4056509
Assam,2020,2,dhubri district,279128,458359612.4548876
Assam,2020,2,golaghat district,290221,381486790.012342
Assam,2020,2,udalguri district,166432,268857082.8058843
Assam,2020,2,majuli district,40396,51674787.726897806
Assam,2020,2,sonitpur district,510820,899403354.2732959
Assam,2020,2,hojai district,172987,285298432.0749479
Assam,2020,2,marigaon district,240281,429689787.586447
Assam,2020,2,chirang district,112936,166769974.1225149
Assam,2020,2,cachar district,448258,671325302.7518412
Assam,2020,2,nalbari district,198498,254116361.1258038
Assam,2020,2,west karbi anglong district,42806,49256668.87424505
Assam,2020,2,dhemaji district,205941,328331122.2696053
Assam,2020,2,karimganj district,219675,348307355.5519594
Assam,2020,2,bongaigaon district,215359,339332330.9810649
Assam,2020,2,dima hasao district,90255,143371839.6172748
Assam,2020,2,baksa district,220877,363494158.4504934
Assam,2020,2,charaideo district,132136,187405994.2347428
Assam,2020,2,darrang district,191116,334935860.5953754
Assam,2020,2,kamrup metropolitan district,2543890,7190215278.036328
Assam,2020,2,hailakandi district,145539,214091717.6600135
Assam,2020,2,barpeta district,519590,967512954.9444927
Assam,2020,2,goalpara district,261762,485118707.46153224
Assam,2020,2,biswanath district,166278,223505041.45463592
Assam,2020,2,jorhat district,306847,406689798.0164192
Assam,2020,3,tinsukia district,442335,839411510.8503456
Assam,2020,3,lakhimpur district,258450,431917438.4007656
Assam,2020,3,kamrup district,445726,878646586.9277798
Assam,2020,3,kokrajhar district,169456,354873433.7407801
Assam,2020,3,karbi anglong district,186352,377558923.8426727
Assam,2020,3,sivasagar district,213330,375381648.7917502
Assam,2020,3,dibrugarh district,526945,1106487215.771987
Assam,2020,3,south salmara mancachar district,76074,203318061.9488448
Assam,2020,3,nagaon district,535675,1153926434.0592709
Assam,2020,3,dhubri district,265528,574593610.2092601
Assam,2020,3,golaghat district,278714,484885427.85811895
Assam,2020,3,udalguri district,154549,312073789.47531146
Assam,2020,3,majuli district,39125,56123804.82257187
Assam,2020,3,sonitpur district,540972,1164586118.8388221
Assam,2020,3,hojai district,175557,355628836.0341291
Assam,2020,3,marigaon district,230540,512119251.25606686
Assam,2020,3,chirang district,102868,192241344.0014076
Assam,2020,3,cachar district,487493,920279966.2377985
Assam,2020,3,nalbari district,175078,305820367.2778451
Assam,2020,3,west karbi anglong district,40408,63195580.4849911
Assam,2020,3,dhemaji district,206214,411442432.54643184
Assam,2020,3,karimganj district,249302,504923538.1515511
Assam,2020,3,bongaigaon district,227984,476147034.02800435
Assam,2020,3,dima hasao district,93676,180472116.28952
Assam,2020,3,baksa district,208297,442621506.64271426
Assam,2020,3,charaideo district,130863,244390041.98398152
Assam,2020,3,darrang district,188334,455692195.8874371
Assam,2020,3,kamrup metropolitan district,4268591,13346088870.1141
Assam,2020,3,hailakandi district,161126,294342674.92533815
Assam,2020,3,barpeta district,553783,1306355860.1566281
Assam,2020,3,goalpara district,277508,630486618.2775413
Assam,2020,3,biswanath district,171570,332570734.9531008
Assam,2020,3,jorhat district,315288,542788284.757088
Assam,2020,4,tinsukia district,543941,1209737013.9697669
Assam,2020,4,lakhimpur district,304251,620709324.0849249
Assam,2020,4,kamrup district,557203,1271039293.2521
Assam,2020,4,kokrajhar district,209653,522575460.2813618
Assam,2020,4,karbi anglong district,229991,548523247.5679932
Assam,2020,4,sivasagar district,259736,561002521.458745
Assam,2020,4,dibrugarh district,631601,1479167066.80543
Assam,2020,4,south salmara mancachar district,111015,338306352.614975
Assam,2020,4,nagaon district,667880,1665021995.819207
Assam,2020,4,dhubri district,337623,874322425.3902973
Assam,2020,4,golaghat district,337771,687756877.7912595
Assam,2020,4,udalguri district,181878,415302655.2781901
Assam,2020,4,majuli district,43480,69435583.78914571
Assam,2020,4,sonitpur district,676306,1560923095.7659302
Assam,2020,4,hojai district,224628,528926408.7801575
Assam,2020,4,marigaon district,277304,736327079.8480828
Assam,2020,4,chirang district,121011,281687589.5849322
Assam,2020,4,cachar district,623731,1434767202.348822
Assam,2020,4,nalbari district,210966,464782209.23467803
Assam,2020,4,west karbi anglong district,44259,80617646.24078932
Assam,2020,4,dhemaji district,250452,567469583.0598263
Assam,2020,4,karimganj district,309172,754661918.8881419
Assam,2020,4,bongaigaon district,301859,724047412.7652119
Assam,2020,4,dima hasao district,110429,262165738.17960852
Assam,2020,4,baksa district,253333,644108232.3336508
Assam,2020,4,charaideo district,152117,356182476.76104593
Assam,2020,4,darrang district,239602,682167456.1529417
Assam,2020,4,kamrup metropolitan district,5300547,16105922899.45602
Assam,2020,4,hailakandi district,189140,419018012.3664531
Assam,2020,4,barpeta district,724763,2053361856.477952
Assam,2020,4,goalpara district,381733,1018165139.8396721
Assam,2020,4,biswanath district,215627,472733035.602438
Assam,2020,4,jorhat district,400452,815676507.4744499
Assam,2021,1,tinsukia district,480161,1160430411.709109
Assam,2021,1,lakhimpur district,278213,669614741.670135
Assam,2021,1,kamrup district,557802,1450662971.695179
Assam,2021,1,kokrajhar district,228889,627990382.7904459
Assam,2021,1,karbi anglong district,217934,608528765.1323997
Assam,2021,1,sivasagar district,242611,602350918.9850893
Assam,2021,1,dibrugarh district,680608,1710571109.982249
Assam,2021,1,south salmara mancachar district,134708,477352228.406156
Assam,2021,1,nagaon district,675634,2019926209.3789349
Assam,2021,1,dhubri district,362613,1035861131.43183
Assam,2021,1,golaghat district,311238,749087184.8333428
Assam,2021,1,udalguri district,173233,451305008.4328211
Assam,2021,1,majuli district,34915,74357604.61004795
